47.485 , 8.130 , 9.617 , 3, 2.000
51.520 , 12.436 , 9.677 , 4, 3.756
63.057 , 11.586 , 5.736 , 5, 5.580
61.881 , 13.868 , 0.827 , 5, 6.711
69.698 , 11.459 , 0.000 , 4, 7.866
78.866 , 9.068 , 0.000 , 3, 8.299
76.614 , 5.501 , 0.000 , 2, 9.017
83.187 , 4.422 , 0.000 , 1, 9.023
67.891 , 2.074 , 0.000 , 0, 9.088
47.656 , 1.632 , 3.617 , 0, 8.346
36.184 , 1.729 , 9.288 , 1, 7.624
33.426 , 6.664 , 15.788 , 2, 6.084
33.815 , 8.157 , 22.181 , 3, 5.603
38.454 , 9.678 , 31.541 , 4, 5.892
64.802 , 11.669 , 27.568 , 5, 6.454
65.435 , 14.152 , 22.584 , 6, 6.887
76.395 , 10.427 , 16.584 , 7, 9.297
82.070 , 8.650 , 9.584 , 8, 12.276
79.190 , 7.338 , 1.584 , 9, 15.772
69.992 , 3.843 , 0.000 , 8, 21.741
65.711 , 2.284 , 0.000 , 7, 27.258
52.828 , 2.771 , 0.000 , 6, 30.482
41.524 , 2.167 , 2.283 , 5, 33.179
46.836 , 7.123 , 6.503 , 4, 26.362
32.077 , 10.350 , 10.587 , 5, 16.719
46.378 , 9.587 , 14.896 , 6, 13.705
48.668 , 13.448 , 14.611 , 7, 10.489
72.981 , 12.191 , 7.612 , 8, 11.096
65.426 , 9.323 , 0.000 , 7, 13.924
78.473 , 6.805 , 0.000 , 6, 16.186
74.084 , 7.330 , 0.000 , 5, 16.254
82.186 , 4.161 , 0.000 , 4, 17.872
60.510 , 1.363 , 0.000 , 3, 20.654
52.328 , 2.245 , 0.000 , 2, 21.335
46.109 , 3.428 , 4.510 , 1, 19.678
41.314 , 3.604 , 12.886 , 2, 17.132
39.434 , 10.280 , 24.886 , 3, 10.326
54.474 , 12.126 , 23.443 , 4, 7.065
50.509 , 13.750 , 23.142 , 5, 6.208
67.976 , 12.212 , 18.147 , 6, 7.417
77.899 , 9.907 , 12.147 , 7, 9.743
78.121 , 10.073 , 5.147 , 8, 11.836
85.903 , 4.768 , 0.000 , 7, 17.014
68.721 , 4.331 , 0.000 , 6, 20.330
62.184 , 1.951 , 0.000 , 5, 24.346
63.953 , 1.559 , 0.000 , 4, 27.449
49.004 , 4.192 , 0.852 , 3, 25.695
39.473 , 7.143 , 11.715 , 2, 19.518
38.650 , 9.812 , 23.793 , 3, 11.943
49.542 , 12.887 , 25.765 , 4, 7.248
54.473 , 11.659 , 23.306 , 5, 7.023
74.181 , 14.476 , 18.306 , 6, 6.940
67.095 , 12.767 , 12.314 , 7, 8.510
82.140 , 8.281 , 5.314 , 8, 11.986
81.710 , 4.571 , 0.000 , 7, 17.247
79.862 , 1.987 , 0.000 , 6, 22.533
64.117 , 0.109 , 0.000 , 5, 28.410
48.574 , 0.309 , 0.000 , 4, 32.971
46.987 , 2.423 , 1.516 , 3, 32.976
34.074 , 7.074 , 8.826 , 2, 24.312
32.745 , 7.057 , 14.907 , 3, 17.733
45.767 , 12.285 , 21.523 , 4, 9.841
64.519 , 14.536 , 17.549 , 5, 6.689
68.865 , 12.328 , 12.552 , 6, 7.566
79.138 , 10.717 , 6.552 , 7, 9.512
75.202 , 7.482 , 0.000 , 6, 12.953
81.008 , 4.425 , 0.000 , 5, 16.088
67.190 , 3.686 , 0.000 , 4, 18.123
57.686 , 2.378 , 0.000 , 3, 19.968
48.106 , 2.185 , 1.052 , 2, 20.786
37.348 , 4.558 , 9.099 , 1, 18.049
31.732 , 5.533 , 13.956 , 2, 14.056
